0,633
1,2651
2,943
3,1839
4,1739
5,2205
6,1840
7,2576
8,3083
9,2305
10,1726
11,2155
12,1410
13,2574
14,1913
15,1497
16,1921
17,2497
18,2601
19,2960
20,2398
21,2211
22,2101
23,2080
24,2079
25,2151
26,2353
27,1037
28,2874
29,2511
30,2002
31,2093
32,382
33,2445
34,2215
35,2202
36,2347
37,2345
38,2210
39,1792
40,2397
41,2280
42,2146
43,2191
44,2040
45,2374
46,2245
47,2396
48,2313
49,2426
50,2201
51,2685
52,2845
53,2368
54,2470
55,2186
56,2191
57,2270
58,1871
59,2193
60,2398
61,2244
62,2101
63,2173
64,2260
65,2468
66,2343
67,2175
68,2331
69,2929
70,2482
71,2141
72,2119
73,2256
74,2243
75,184
76,1707
77,2481
78,1613
79,2409
80,2573
81,2390
82,2929
83,2445
84,650
85,2480
86,2201
87,2087
88,2360
89,2802
90,2628
91,2414
92,2578
93,1742
94,1910
95,2151
96,2518
97,2650
98,2807
99,2104
